listing_id,property_id,agent_id,city,property_type,bedrooms,bathrooms,list_price,sqm,listing_date,last_updated,status
1,PROP-001,101,Amsterdam,Apartment,2,1,285000.50,75,2024-01-15,2024-01-15 09:00:00,Active
2,PROP-002,102,Rotterdam,House,4,2,449999.99,145,2024-01-20,2024-01-20 10:30:00,Active
3,PROP-003,101,Amsterdam,Studio,,1,184999.99,42,2024-01-22,2024-01-22 11:00:00,Active
4,PROP-004,103,Utrecht,Villa,5,3,874999.99,280,2024-02-01,2024-02-01 08:45:00,Active
5,PROP-005,102,Rotterdam,Apartment,3,2,320500.25,95,2024-02-05,2024-02-05 14:00:00,Sold
6,PROP-001,101,Amsterdam,Apartment,2,1,279000.00,75,2024-01-15,2024-03-01 09:00:00,Active
7,PROP-006,104,The Hague,House,3,2,395000.00,120,2024-02-10,2024-02-10 16:00:00,Active
8,PROP-007,103,Utrecht,Apartment,1,,165000.00,38,2024-02-14,2024-02-14 11:30:00,Active
9,PROP-008,105,Eindhoven,House,4,3,519999.99,170,2024-02-18,2024-02-18 09:00:00,Active
10,PROP-009,104,The Hague,Studio,1,1,145000.00,35,2024-02-22,2024-02-22 10:00:00,Active
11,PROP-010,101,Amsterdam,Villa,6,4,1249999.99,400,2024-03-01,2024-03-01 14:30:00,Active
12,PROP-002,102,Rotterdam,House,4,2,445000.00,145,2024-01-20,2024-03-05 10:30:00,Active
13,PROP-011,105,Eindhoven,Apartment,2,1,195000.00,68,2024-03-08,2024-03-08 09:00:00,Sold
14,PROP-012,106,Groningen,House,3,,309999.99,105,2024-03-10,2024-03-10 12:00:00,Active
15,PROP-013,102,Rotterdam,Apartment,2,2,265000.00,82,2024-03-15,2024-03-15 15:00:00,Active
16,PROP-014,106,Groningen,Studio,,1,129999.99,33,2024-03-18,2024-03-18 08:30:00,Active
17,PROP-015,103,Utrecht,House,5,3,679999.99,210,2024-03-22,2024-03-22 11:00:00,Active
18,PROP-016,104,The Hague,Apartment,1,1,175000.00,45,2024-03-25,2024-03-25 14:00:00,Sold
19,PROP-017,101,Amsterdam,House,4,2,785000.50,195,2024-04-01,2024-04-01 09:30:00,Active
20,PROP-018,105,Eindhoven,Villa,4,3,649999.99,230,2024-04-05,2024-04-05 10:00:00,Active
21,PROP-019,106,Groningen,Apartment,3,2,215000.00,78,2024-04-08,2024-04-08 11:30:00,Active
22,PROP-020,107,Breda,House,3,2,355000.00,115,2024-04-12,2024-04-12 14:00:00,Active
23,PROP-003,101,Amsterdam,Studio,,1,190000.00,42,2024-01-22,2024-04-15 11:00:00,Active
24,PROP-021,107,Breda,Apartment,2,1,225000.00,72,2024-04-18,2024-04-18 09:00:00,Active
25,PROP-022,102,Rotterdam,Villa,5,,925000.00,310,2024-04-22,2024-04-22 16:00:00,Active
26,PROP-023,103,Utrecht,House,3,2,,105,2024-04-25,2024-04-25 10:30:00,
27,PROP-024,104,The Hague,Apartment,2,1,235000.00,71,2024-05-01,2024-05-01 09:00:00,Active
28,PROP-025,105,Eindhoven,House,,2,410000.00,130,2024-05-05,2024-05-05 11:00:00,Active
29,PROP-026,106,Groningen,Studio,1,1,138000.00,36,2024-05-08,2024-05-08 14:00:00,Active
30,PROP-027,107,Breda,House,4,3,490000.00,158,2024-05-12,2024-05-12 09:30:00,Active
31,PROP-028,101,Amsterdam,Apartment,3,2,345000.00,98,2024-05-15,2024-05-15 10:00:00,Active
32,PROP-029,104,The Hague,House,4,2,,145,2024-05-18,2024-05-18 12:00:00,Active
33,PROP-030,103,Utrecht,Apartment,2,1,245000.00,76,2024-05-22,2024-05-22 15:00:00,Active
